city_code,zip_code,latitude,longitude
alby sur cheran,74540,45.815673511,6.016021901
alcay alcabehety sunharette,64470,43.086619598,-0.976697306
aldudes,64430,43.091972616,-1.434551954
alembon,62850,50.780685084,1.87181552
alencon,61000,48.431517633,0.091615677
alenya,66200,42.640886096,2.98154834
aleria,20270,42.106115829,9.49592506
ales,30100,44.125130044,4.088567807
alet les bains,11580,42.99419784,2.258684791
alette,62650,50.523928746,1.850225596
aleu,9320,42.894162766,1.267264749
alex,74290,45.881011742,6.236291245
alexain,53240,48.232200671,-0.704183081
aleyrac,26770,44.499150841,4.946083614
alfortville,94140,48.796134091,2.421407444
algajola,20220,42.604789177,8.8573027
algans,81470,43.599929423,1.891469884
algolsheim,68600,48.003216164,7.550155226
algrange,57440,49.364724852,6.047828116
alieze,39270,46.585078016,5.58585556
alignan du vent,34290,43.468872961,3.33962295
alincourt,8310,49.402944699,4.345179699
alincthun,62142,50.720812476,1.810489452
alise ste reine,21150,47.535583539,4.488200641
alissas,7210,44.706875383,4.623882131
alix,69380,45.917088276,4.653774018
alixan,26300,44.98219132,5.0170743
alizay,27460,49.322053211,1.178381905
allain,54170,48.549707126,5.920865048
allaines,80200,49.963113198,2.937373824
allainville,28500,48.720985482,1.29440409
allainville,78660,48.467503784,1.902700771
allaire,56350,47.639321756,-2.177336284
allamont,54800,49.128601409,5.776906466
allamps,54112,48.548705186,5.814884818
allan,26780,44.494772796,4.798705608
allanche,15160,45.231281197,2.953694537
alland huy et sausseuil,8130,49.512260939,4.549472452
allarmont,88110,48.468981824,7.02064601
allas bocage,17150,45.38279089,-0.497653886
allas champagne,17500,45.472277211,-0.339662889
allas les mines,24220,44.82822667,1.074098936
allassac,19240,45.255838761,1.469444198
allauch,13190,43.353259041,5.5113703560000005
allegre,43270,45.188928722,3.690406683
allegre les fumades,30500,44.197410121,4.253634425
alleins,13980,43.707442219,5.151455
allemagne en provence,4500,43.78872288,6.030340492
allemanche launay et soyer,51260,48.60649033,3.791242066
allemans,24600,45.288011887,0.304900309
allemans du dropt,47800,44.623398655,0.286349554
allemant,2320,49.46254392,3.453354876
allemant,51120,48.761492945,3.816528913
allemond,38114,45.170477324,6.017771539
allenay,80130,50.086508782,1.492446069
allenc,48190,44.552035798,3.676554379
allenjoie,25490,47.535796969,6.894147008
allennes les marais,59251,50.541448519,2.9482816730000003
allerey,21230,47.19024207,4.420607175
allerey sur saone,71350,46.913836137,4.974271043
alleriot,71380,46.799158728,4.9552235190000005
allery,80270,49.959286214,1.88534342
alles sur dordogne,24480,44.861916562,0.8747911410000001
alleuze,15100,44.959742143,3.098247339
allevard,38580,45.380219092,6.11347007
alleves,74540,45.758963756,6.085941841
allex,26400,44.766590378,4.915090897
alleyrac,43150,44.894306765,3.98987195
alleyras,43580,44.906555336,3.680215325
alleyrat,23200,45.987848814,2.153881844
alleyrat,19200,45.564017704,2.218916544
allez et cazeneuve,47110,44.382408912,0.628605048
alliancelles,51250,48.803583832,4.87364923
alliat,9400,42.816304472,1.581326864
allibaudieres,10700,48.586155215,4.122952875
allichamps,52130,48.563785653,4.886579098
allier,65360,43.179996096,0.125954174
allieres,9240,43.038911091,1.364164827
alligny cosne,58200,47.443657906,3.072595102
alligny en morvan,58230,47.20977196,4.17346003
allineuc,22460,48.311573307,-2.867064963
allinges,74200,46.333872337,6.465349113
allogny,18110,47.23431803,2.306399725
alloinay,79190,46.152561634,-0.039084081
allondans,25550,47.522238979,6.751923125
allondaz,73200,45.711712162,6.371619949
allondrelle la malmaison,54260,49.510917359,5.568760534
allonne,79130,46.580574926,-0.381983618
allonne,60000,49.396085603,2.118866829
allonnes,49650,47.303707889,0.011482495
allonnes,72700,47.958970599,0.144300131
allonnes,28150,48.331871427,1.651907693
allons,47420,44.193202109,-0.080125689
allons,4170,43.979944656,6.590007837
allonville,80260,49.937897356,2.367947823
allonzier la caille,74350,45.999958375,6.104614427
allos,4260,44.26188021,6.626633132
allouagne,62157,50.532210322,2.50515355
alloue,16490,46.020203116,0.525767135
allouis,18500,47.17790877,2.240769225
allouville bellefosse,76190,49.594335367,0.6658613360000001
alluy,58110,47.033763377,3.632896076
alluyes,28800,48.229095148,1.364562686
ally,43380,45.150304645,3.316705895
ally,15700,45.167013463,2.355157578
almayrac,81190,44.099234259,2.156031934
almeneches,61570,48.69830809,0.126058474
almont les junies,12300,44.600689761,2.31056563
alos,9200,42.897888566,1.129211246
alos,81140,44.020436277,1.874185615
alos sibas abense,64470,43.113422286,-0.8773303750000001
aloxe corton,21420,47.068008045,4.86156952
alquines,62850,50.733788991,1.993568178
alrance,12430,44.13536857,2.6754921080000003
alsting,57515,49.180352253,7.001389049
altagene,20112,41.709341198,9.077320052
alteckendorf,67270,48.794329904,7.596409519
altenach,68210,47.601689849,7.108613025
altenheim,67490,48.719953024,7.462341619
althen des paluds,84210,44.005174387,4.958647652
altiani,20251,42.21988286,9.278582603
altier,48800,44.45942682,3.856773716
altillac,19120,44.980807652,1.868822079
altkirch,68130,47.621012196,7.244552802
altorf,67120,48.524446839,7.53798293
